region number,d13C,Age
1,2.63,164.2
1,2.63,164.2
1,2.54,164.2
1,2.54,164.2
1,2.90,164.2
1,2.90,164.2
1,2.71,164.2
1,2.71,164.2
1,2.87,164.2
1,2.87,164.2
1,2.40,164.2
1,2.40,164.2
1,2.02,164.2
1,2.02,164.2
1,2.74,164.2
1,2.74,164.2
1,2.73,164.9
1,2.73,164.9
1,2.44,164.9
1,2.44,164.9
1,2.49,164.9
1,2.49,164.9
1,0.27,167.6
1,0.27,167.6
1,-1.25,169
1,-1.25,169
1,-0.72,169
1,-0.72,169
1,-0.61,169.5
1,-0.61,169.5
1,0.01,169.5
1,0.01,169.5
1,-0.05,169.5
1,-0.05,169.5
1,2.87,169.9
1,3.47,169.9
1,3.2,169.9
1,0.42,169.9
1,0.42,169.9
1,1.58,169.9
1,1.11,169.9
1,2.27,169.9
1,2.21,169.9
1,2.51,169.9
1,2.26,169.9
1,1.67,169.9
1,0.92,169.9
1,1.43,169.9
1,2.87,169.9
1,0.9,169.9
1,1.11,169.9
1,0.13,169.9
1,2.73,169.9
1,0.5,169.9
1,0.93,169.9
1,0.8,169.9
1,2.39,169.9
1,0.27,169.9
1,1.27,169.9
1,-0.03,169.9
1,0.79,169.9
1,3.2,169.9
1,0.99,169.9
1,2.03,169.9
1,2.07,169.9
1,2.73,169.9
1,-0.45,169.9
1,3.43,169.9
1,0.92,169.9
1,1.77,169.9
1,-0.65,169.9
1,2.18,169.9
1,1.3,169.9
1,1.33,170.1
1,1.33,170.1
1,2.31,170.1
1,2.31,170.1
1,1.29,170.6
1,1.29,170.6
1,0.92,170.6
1,2.21,170.6
1,2.32,170.6
1,2.38,170.6
1,3.27,170.6
1,2.7,170.6
1,2.89,170.6
1,2.44,170.6
1,2.44,170.6
1,2.77,170.6
1,3.67,170.6
1,1.81,170.6
1,3.67,170.6
1,3.67,170.6
1,2.81,170.6
1,2.97,170.6
1,2.37,170.6
1,2.95,170.6
1,2.94,170.6
1,3.25,170.6
1,1.98,170.6
1,3.16,170.6
1,0.91,170.6
1,2.84,170.6
1,2.56,170.6
1,1.27,170.6
1,1.27,170.6
1,0.29,170.6
1,3.89,170.6
1,2.46,170.6
1,1.67,170.6
1,3.09,170.6
1,3.09,170.6
1,3.09,170.6
1,1.23,170.8
1,1.23,170.8
1,-0.41,170.8
1,-0.41,170.8
1,2.78,170.8
1,2.78,170.8
1,2.78,170.8
1,3.39,170.8
1,3.39,170.8
1,3.39,170.8
1,2.31,170.8
1,2.31,170.8
1,2.31,170.8
1,3.65,170.8
1,3.65,170.8
1,3.65,170.8
1,1,170.8
1,1.00,170.8
1,1.00,170.8
1,1.68,170.8
1,3.07,170.8
1,3.07,170.8
1,1.68,170.8
1,3.07,170.8
1,1.68,170.8
1,3.56,170.8
1,3.56,170.8
1,3.56,170.8
1,2.03,170.8
1,2.03,170.8
1,2.03,170.8
1,1.76,170.8
1,1.76,170.8
1,1.76,170.8
1,2.84,170.8
1,2.84,170.8
1,2.84,170.8
1,3.45,170.8
1,3.45,170.8
1,3.45,170.8
1,3.68,170.8
1,3.68,170.8
1,3.68,170.8
1,-0.14,170.8
1,-0.14,170.8
1,1.47,170.8
1,1.47,170.8
1,1.49,170.8
1,1.49,170.8
1,1.49,170.8
1,1.23,170.8
1,1.23,170.8
1,0.62,171.2
1,0.62,171.2
1,0.23,171.2
1,0.23,171.2
1,1.1,171.2
1,0.13,171.2
1,1.42,171.2
1,1.42,171.2
1,1.48,171.2
1,0.81,171.2
1,3.21,171.2
1,2.82,171.2
1,2.82,171.2
1,2.17,171.2
1,2.17,171.2
1,2.17,171.2
1,1.79,171.2
1,1.79,171.2
1,2.24,171.2
1,0.38,171.2
1,1.94,171.2
1,1.94,171.2
1,2.67,171.2
1,2.67,171.2
1,1.31,171.2
1,2.67,171.2
1,1.31,171.2
1,0.63,171.2
1,0.63,171.2
1,1.77,171.2
1,1.29,171.2
1,1.29,171.2
1,1.31,171.2
1,1.37,171.2
1,1.37,171.2
1,1.69,171.2
1,1.69,171.2
1,2.08,171.2
1,0.7,171.2
1,2.08,171.2
1,2.08,171.2
1,3.02,171.2
1,1.83,171.6
1,1.81,171.6
1,0.9,171.6
1,2.38,171.6
1,2.24,171.6
1,0.95,171.6
1,2.16,171.6
1,1.17,171.6
1,2.63,171.6
1,2.07,171.6
1,1.73,171.6
1,2.15,171.6
1,3.25,171.6
1,0.74,171.6
1,1.77,171.6
1,1.77,171.6
1,2.1,171.6
1,3.16,171.6
1,1.71,171.6
1,2.16,171.6
1,1.01,171.6
1,0.97,171.6
1,1.7,171.6
1,3.89,171.6
1,2.45,171.6
1,-0.52,171.6
1,2.61,171.6
1,2.02,171.6
1,2.56,171.6
1,0.71,172.1
1,0.71,172.1
1,-0.15,172.1
1,1.94,172.1
1,1.6,172.1
1,1.28,172.1
1,2.71,172.1
1,2.71,172.1
1,2.71,172.1
1,1.04,172.1
1,2.35,172.1
1,1.97,172.1
1,3.27,172.1
1,2.88,172.1
1,2.88,172.1
1,2.88,172.1
1,1.08,172.1
1,2.34,172.1
1,1.04,172.1
1,2.07,172.1
1,1.53,172.1
1,3.19,172.1
1,3.19,172.1
1,3.19,172.1
1,1.41,172.1
1,1.36,172.1
1,2.07,172.1
1,2.07,172.1
1,1.06,172.1
1,1.83,172.1
1,1.83,172.1
1,1.83,172.1
1,1.94,172.1
1,2.23,172.1
1,2.71,172.1
1,1.5,172.1
1,2.71,172.1
1,2.71,172.1
1,1.71,172.1
1,3.55,172.1
1,2.84,172.1
1,2.15,172.1
1,2.15,172.1
1,2.15,172.1
1,2.61,172.1
1,3.29,172.1
1,3.29,172.1
1,3.29,172.1
1,2.25,172.1
1,2.16,172.1
1,2.05,172.1
1,2.05,172.1
1,2.05,172.1
1,3.17,172.1
1,3.37,172.1
1,0.6,172.1
1,1.85,172.1
1,1.85,172.1
1,1.85,172.1
1,2.58,172.1
1,1.83,172.1
1,1.86,172.1
1,0.83,172.1
1,2.46,172.1
1,2.4,172.1
1,2.41,172.1
1,2.84,173.6
1,1.81,173.6
1,1.73,173.6
1,2.05,173.6
1,2.42,173.6
1,2.75,173.6
1,2.19,173.6
1,1.97,173.6
1,1.03,173.6
1,2.2,173.6
1,1.92,173.6
1,2.11,173.6
1,3.4,173.6
1,2.44,173.6
1,2.83,173.6
1,2.08,173.6
1,2.98,173.6
1,2.6,173.6
1,1.07,173.6
1,1.98,173.6
1,3.43,173.6
1,2.17,173.6
1,1.85,173.6
1,1.03,173.6
1,1.36,173.6
1,1.39,173.6
1,1.12,173.6
1,1.87,173.6
1,1.87,173.6
1,1.37,173.6
1,3.41,173.6
1,1.04,173.6
1,0.8,173.6
1,0.05,173.6
1,1.27,173.6
1,0.61,173.6
1,0.43,173.6
1,1.17,173.6
1,1.87,173.6
1,2.1,173.6
1,1.09,173.6
1,1.35,173.6
1,2.25,173.6
1,2.12,173.6
1,2.12,173.6
1,2.12,173.6
1,0.94,173.6
1,0.94,173.6
1,0.94,173.6
1,-1.14,173.6
1,1.02,173.6
1,1.96,173.6
1,2.17,173.6
1,1.63,173.6
1,0.6,173.6
1,0.60,173.6
1,0.60,173.6
1,0.76,173.6
1,1.52,173.6
1,1.52,173.6
1,1.52,173.6
1,1.15,173.6
1,1.15,173.6
1,1.15,173.6
1,0.84,173.6
1,2.24,173.6
1,2.24,173.6
1,2.24,173.6
1,1.31,173.6
1,1.31,173.6
1,1.31,173.6
1,1.09,173.6
1,1.09,173.6
1,1.09,173.6
1,1.56,173.6
1,1.22,173.6
1,1.32,173.6
1,1.32,173.6
1,1.32,173.6
1,1.1,173.6
1,1.10,173.6
1,1.10,173.6
1,-0.52,173.6
1,1.62,173.6
1,2.12,173.6
1,0.79,173.6
1,-0.49,173.6
1,0.91,173.6
1,-0.08,173.6
1,-0.08,173.6
1,-0.08,173.6
1,1.57,173.6
1,1.13,173.6
1,1.13,173.6
1,1.13,173.6
1,-0.2,173.6
1,-0.07,173.6
1,-0.07,173.6
1,-0.07,173.6
1,-0.9,173.6
1,-1.35,173.6
1,-0.7,173.6
1,-0.57,173.6
1,-0.33,173.6
1,0.97,173.6
1,0.91,173.6
1,0.02,173.6
1,2.1,173.6
1,0.93,173.6
1,-0.2,173.6
1,2.64,173.6
1,2.64,173.6
1,2.64,173.6
1,0.17,173.6
1,0.41,173.6
1,0.41,173.6
1,0.41,173.6
1,1.88,173.6
1,1.88,173.6
1,1.88,173.6
1,2.05,173.6
1,2.05,173.6
1,2.05,173.6
1,-0.54,173.6
1,0.22,173.6
1,3.29,173.6
1,3.29,173.6
1,3.29,173.6
1,2.84,173.6
1,2.84,173.6
1,2.84,173.6
1,2.97,173.6
1,2.97,173.6
1,2.97,173.6
1,2.63,173.6
1,2.63,173.6
1,2.63,173.6
1,2.96,173.6
1,2.96,173.6
1,2.96,173.6
1,1.34,173.6
1,1.34,173.6
1,1.34,173.6
1,3.16,173.6
1,3.16,173.6
1,3.16,173.6
